Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,FG_PER_36,FGA_PER_36,2P_PER_36,2PA_PER_36,3P_PER_36,3PA_PER_36,FT_PER_36,FTA_PER_36,ORB_PER_36,DRB_PER_36,TRB_PER_36,AST_PER_36,STL_PER_36,BLK_PER_36,TOV_PER_36,PF_PER_36,PTS_PER_36,TS_PCT,3PAr,FTr
Anthony Bennett,20,CLE,NBA,2013-14,52,0,663,80,225,67,172,13,53,44,69,49,106,155,17,21,8,47,93,217,0.355555556,0.389534884,0.245283019,0.637681159,0.384444444,4.343891403,12.21719457,3.63800905,9.339366516,0.705882353,2.877828054,2.389140271,3.746606335,2.660633484,5.755656109,8.416289593,0.923076923,1.140271493,0.43438914,2.552036199,5.049773756,11.78280543,42.48903509,0.235555556,0.306666667
Anthony Brown,23,LAL,NBA,2015-16,29,11,599,39,126,19,56,20,70,17,20,9,61,70,19,14,5,15,34,115,0.30952381,0.339285714,0.285714286,0.85,0.388888889,2.343906511,7.572621035,1.141903172,3.365609349,1.202003339,4.207011686,1.021702838,1.202003339,0.540901503,3.666110184,4.207011686,1.141903172,0.841402337,0.300500835,0.901502504,2.043405676,6.911519199,42.65578635,0.555555556,0.158730159
Anthony Davis,19,NOH,NBA,2012-13,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,0.516272189,0.520895522,0,0.751111111,0.516272189,6.806067172,13.18309859,6.806067172,13.06608884,0,0.117009751,3.295774648,4.387865655,3.217768147,6.962080173,10.17984832,1.228602384,1.462621885,2.184182015,1.735644637,3.081256771,16.90790899,55.93548387,0.00887574,0.332840237
Anthony Grundy,26,ATL,NBA,2005-06,12,0,108,19,38,14,23,5,15,9,14,1,16,17,9,7,0,9,14,52,0.5,0.608695652,0.333333333,0.642857143,0.565789474,6.333333333,12.66666667,4.666666667,7.666666667,1.666666667,5,3,4.666666667,0.333333333,5.333333333,5.666666667,3,2.333333333,0,3,4.666666667,17.33333333,58.87681159,0.394736842,0.368421053
Anthony Morrow,23,GSW,NBA,2008-09,67,17,1515,255,534,169,350,86,184,80,92,78,121,199,80,36,12,52,130,676,0.47752809,0.482857143,0.467391304,0.869565217,0.558052434,6.059405941,12.68910891,4.015841584,8.316831683,2.043564356,4.372277228,1.900990099,2.186138614,1.853465347,2.875247525,4.728712871,1.900990099,0.855445545,0.285148515,1.235643564,3.089108911,16.06336634,58.83581674,0.344569288,0.172284644
Anthony Randolph,19,GSW,NBA,2008-09,63,22,1129,199,431,199,427,0,4,101,141,128,235,363,49,42,74,80,141,499,0.461716937,0.466042155,0,0.716312057,0.461716937,6.345438441,13.74313552,6.345438441,13.61558902,0,0.127546501,3.220549159,4.496014172,4.081488043,7.493356953,11.574845,1.562444641,1.339238264,2.359610275,2.550930027,4.496014172,15.91142604,50.60441344,0.009280742,0.327146172
Anthony Roberson,22,MEM,NBA,2005-06,16,0,88,14,31,9,21,5,10,2,2,0,6,6,5,1,0,3,6,35,0.451612903,0.428571429,0.5,1,0.532258065,5.727272727,12.68181818,3.681818182,8.590909091,2.045454545,4.090909091,0.818181818,0.818181818,0,2.454545455,2.454545455,2.045454545,0.409090909,0,1.227272727,2.454545455,14.31818182,54.89335006,0.322580645,0.064516129
Anthony Tolliver,23,SAS,NBA,2008-09,19,0,208,19,65,10,24,9,41,5,10,12,29,41,17,5,1,7,16,52,0.292307692,0.416666667,0.219512195,0.5,0.361538462,3.288461538,11.25,1.730769231,4.153846154,1.557692308,7.096153846,0.865384615,1.730769231,2.076923077,5.019230769,7.096153846,2.942307692,0.865384615,0.173076923,1.211538462,2.769230769,9,37.46397695,0.630769231,0.153846154
Antoine Wright,21,NJN,NBA,2005-06,39,0,370,29,81,28,66,1,15,11,22,8,22,30,12,4,3,21,42,70,0.358024691,0.424242424,0.066666667,0.5,0.364197531,2.821621622,7.881081081,2.724324324,6.421621622,0.097297297,1.459459459,1.07027027,2.140540541,0.778378378,2.140540541,2.918918919,1.167567568,0.389189189,0.291891892,2.043243243,4.086486486,6.810810811,38.59726511,0.185185185,0.271604938
Antonio Burks,24,MEM,NBA,2004-05,24,0,219,28,60,25,49,3,11,14,19,1,11,12,28,13,1,12,25,73,0.466666667,0.510204082,0.272727273,0.736842105,0.491666667,4.602739726,9.863013699,4.109589041,8.054794521,0.493150685,1.808219178,2.301369863,3.123287671,0.164383562,1.808219178,1.97260274,4.602739726,2.136986301,0.164383562,1.97260274,4.109589041,12,53.39379754,0.183333333,0.316666667
