Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Andy Rautins,24,NYK,NBA,2010-11,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,0.428571429,0.666666667,0.25,0.5,0.5,4.11609498681,9.4036939314,1.01319261214,1.77308707124,3.10290237467,7.63060686016,2.08970976253,2.56464379947,0.569920844327,3.16622691293,3.73614775726,5.41424802111,2.18469656992,0.253298153034,3.10290237467,2.40633245383,13.4248021108
Anthony Bennett,20,CLE,NBA,2013-14,52,0,663,80,225,67,172,13,53,44,69,49,106,155,17,21,8,47,93,217,0.355555556,0.389534884,0.245283019,0.637681159,0.384444444,7.65473684211,14.3621052632,6.29052631579,10.7242105263,1.36421052632,3.63789473684,4.69894736842,6.70736842105,3.25894736842,7.54105263158,10.8,1.28842105263,0.909473684211,1.62947368421,2.46315789474,3.03157894737,21.3726315789
Anthony Brown,23,LAL,NBA,2015-16,29,11,599,39,126,19,56,20,70,17,20,9,61,70,19,14,5,15,34,115,0.30952381,0.339285714,0.285714286,0.85,0.388888889,4.44,10.38,2.57142857143,5.74285714286,1.86857142857,4.63714285714,2.64,3.51428571429,1.19142857143,4.73142857143,5.92285714286,1.98,0.848571428571,0.197142857143,1.95428571429,2.20285714286,13.3885714286
Anthony Davis,19,NOH,NBA,2012-13,64,60,1846,349,676,349,670,0,6,169,225,165,357,522,63,75,112,89,158,867,0.516272189,0.520895522,0.0,0.751111111,0.516272189,5.90163934426,9.47072599532,5.81733021077,8.90866510539,0.0843091334895,0.56206088993,4.04683840749,5.70491803279,3.34426229508,8.31850117096,11.662763466,1.40515222482,1.51756440281,5.22716627635,1.15222482436,2.19203747073,15.9344262295
Anthony Grundy,26,ATL,NBA,2005-06,12,0,108,19,38,14,23,5,15,9,14,1,16,17,9,7,0,9,14,52,0.5,0.608695652,0.333333333,0.642857143,0.565789474,5.96287964004,13.7885264342,4.3025871766,8.79752530934,1.66029246344,4.99100112486,3.02699662542,4.272215973,0.0,0.0,5.44656917885,3.60404949381,2.41957255343,0.293588301462,0.0,0.0,16.613048369
Anthony Morrow,23,GSW,NBA,2008-09,67,17,1515,255,534,169,350,86,184,80,92,78,121,199,80,36,12,52,130,676,0.47752809,0.482857143,0.467391304,0.869565217,0.558052434,5.85960082588,13.4039917412,2.66345492085,5.81004817619,3.19614590502,7.59394356504,2.42807983482,2.7997247075,0.0,0.0,4.9924294563,1.47419132829,1.22642807983,0.322092222987,0.0,0.0,17.3434273916
Anthony Randolph,19,GSW,NBA,2008-09,63,22,1129,199,431,199,427,0,4,101,141,128,235,363,49,42,74,80,141,499,0.461716937,0.466042155,0.0,0.716312057,0.461716937,6.4842519685,13.9606299213,6.41338582677,13.2874015748,0.0708661417323,0.673228346457,4.07480314961,5.88188976378,0.0,0.0,9.3188976378,1.34645669291,1.24015748031,2.48031496063,3.25984251969,0.0,17.1141732283
Anthony Roberson,22,MEM,NBA,2005-06,16,0,88,14,31,9,21,5,10,2,2,0,6,6,5,1,0,3,6,35,0.451612903,0.428571429,0.5,1.0,0.532258065,2.90322580645,5.45806451613,2.78709677419,4.9935483871,0.116129032258,0.464516129032,1.91612903226,3.71612903226,3.65806451613,4.81935483871,8.47741935484,1.10322580645,1.10322580645,0.987096774194,1.27741935484,4.47096774194,7.83870967742
Anthony Tolliver,23,SAS,NBA,2008-09,19,0,208,19,65,10,24,9,41,5,10,12,29,41,17,5,1,7,16,52,0.292307692,0.416666667,0.219512195,0.5,0.361538462,4.78737791134,9.7505634861,4.5033809166,8.89857250188,0.283996994741,0.851990984222,3.71900826446,5.54470323065,0.0,0.0,8.15477084899,1.82569496619,1.04132231405,1.83921863261,0.0,0.0,13.5777610819
Antoine Wright,21,NJN,NBA,2005-06,39,0,370,29,81,28,66,1,15,11,22,8,22,30,12,4,3,21,42,70,0.358024691,0.424242424,0.066666667,0.5,0.364197531,6.01933404941,14.6165413534,3.68635875403,8.40386680988,2.33297529538,6.2126745435,2.87432867884,4.43394199785,0.0,0.0,6.27712137487,2.3716433942,1.22448979592,0.644468313641,0.0,0.0,17.245972073
Antonio Burks,24,MEM,NBA,2004-05,24,0,219,28,60,25,49,3,11,14,19,1,11,12,28,13,1,12,25,73,0.466666667,0.510204082,0.272727273,0.736842105,0.491666667,5.05240488155,10.7767408471,4.23833452979,8.7480258435,0.814070351759,2.02871500359,2.36468054559,3.51471643934,0.0,0.0,3.01076812635,6.29289303661,2.28715003589,0.193826274228,0.0,0.0,13.2835606604
Archie Goodwin,19,PHO,NBA,2013-14,52,0,533,76,167,71,131,5,36,37,55,25,62,87,20,20,11,44,45,194,0.45508982,0.541984733,0.138888889,0.672727273,0.47005988,5.39312977099,12.2633587786,4.80916030534,10.0648854962,0.583969465649,2.19847328244,4.63740458015,7.28244274809,1.64885496183,3.57251908397,5.2213740458,3.02290076336,1.23664122137,0.515267175573,3.46946564885,3.3320610687,16.0076335878
Arinze Onuaku,26,TOT,NBA,2013-14,5,0,30,1,5,1,5,0,0,1,2,2,6,8,3,0,0,1,3,3,0.2,0.2,0.0,0.5,0.2,7.56593406593,11.3241758242,7.56593406593,11.3241758242,0.0,0.0,1.48351648352,3.46153846154,3.31318681319,4.7967032967,8.10989010989,0.989010989011,1.43406593407,1.73076923077,2.12637362637,4.2032967033,16.6153846154
Armon Johnson,21,POR,NBA,2010-11,38,0,277,46,101,41,89,5,12,13,22,11,25,36,45,5,1,38,31,110,0.455445545,0.460674157,0.416666667,0.590909091,0.48019802,6.72696245734,13.5767918089,6.204778157,11.3959044369,0.522184300341,2.18088737201,2.45733788396,3.62457337884,0.798634812287,2.7337883959,3.53242320819,5.80546075085,0.860068259386,0.368600682594,3.50170648464,1.87372013652,16.433447099
Arnett Moultrie,22,PHI,NBA,2012-13,47,0,542,78,134,78,134,0,0,18,28,76,69,145,10,17,10,19,43,174,0.582089552,0.582089552,0.0,0.642857143,0.582089552,5.52071005917,10.7218934911,5.21893491124,9.69230769231,0.301775147929,1.02958579882,3.15976331361,4.29585798817,3.10650887574,6.37278106509,9.47928994083,1.34911242604,1.2426035503,0.887573964497,2.53846153846,2.4674556213,14.5029585799
Arron Afflalo,22,DET,NBA,2007-08,75,9,970,99,241,89,193,10,48,68,87,36,101,137,52,31,8,34,83,276,0.410788382,0.461139896,0.208333333,0.781609195,0.43153527,5.50176678445,12.0318021201,3.28621908127,6.09540636042,2.21554770318,5.93639575972,3.10600706714,3.97526501767,0.0,0.0,3.81625441696,2.14134275618,0.678445229682,0.212014134276,0.0,0.0,16.3250883392
Austin Rivers,20,NOH,NBA,2012-13,61,26,1418,145,390,117,304,28,86,59,108,16,93,109,127,26,9,74,122,377,0.371794872,0.384868421,0.325581395,0.546296296,0.407692308,5.54827280779,12.8184233835,3.69884853853,7.74844995571,1.84942426926,5.06997342781,3.85828166519,5.86713906112,0.669619131975,2.99734278122,3.6669619132,2.26395039858,1.05225863596,0.0318866253322,2.51904340124,2.42338352524,16.80425155
Avery Bradley,20,BOS,NBA,2010-11,31,0,162,23,67,23,62,0,5,6,12,4,13,17,12,9,0,16,20,52,0.343283582,0.370967742,0.0,0.5,0.343283582,5.70687936191,13.2083748754,4.19940179462,9.18843469591,1.5074775673,4.01994017946,1.29212362911,2.36889332004,1.18444666002,2.33300099701,3.51744765703,2.54835493519,1.57926221336,0.646061814556,1.86640079761,2.87138584247,14.2133599202
Awvee Storey,27,NJN,NBA,2004-05,9,0,32,3,10,2,8,1,2,1,2,4,1,5,1,0,0,0,3,8,0.3,0.25,0.5,0.5,0.35,6.53203485392,14.1342901076,6.4951307022,13.9682214249,0.0369041517171,0.166068682727,2.74935930292,4.37314197847,0.0,0.0,11.1081496668,4.61301896463,1.10712455151,0.202972834444,0.0,0.0,15.8503331625
Ben Bentil,21,DAL,NBA,2016-17,3,0,10,0,3,0,2,0,1,0,0,0,2,2,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,5.99377593361,13.1639004149,4.85477178423,9.65352697095,1.13900414938,3.51037344398,4.6867219917,6.16182572614,3.23029045643,4.8734439834,8.10373443983,1.13900414938,0.728215767635,0.896265560166,1.9979253112,3.47302904564,17.8132780083
Ben Gordon,21,CHI,NBA,2004-05,82,3,2002,434,1056,300,725,134,331,233,270,55,160,215,164,53,10,186,224,1235,0.410984848,0.413793103,0.404833837,0.862962963,0.474431818,6.45396536007,14.6800364631,3.76298997265,8.32452142206,2.69097538742,6.35551504102,4.03646308113,5.07566089335,0.0,0.0,4.53965360073,4.78030993619,1.36736554239,0.207839562443,0.0,0.0,19.6353691887
