Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Edwin Ubiles,25,WAS,NBA,2011-12,4,0,52,5,18,4,13,1,5,3,3,2,8,10,1,1,1,1,1,14,0.277777777778,0.307692307692,0.2,1.0,0.305555555556
Ekpe Udoh,23,GSW,NBA,2010-11,58,18,1030,97,222,97,222,0,0,42,64,80,101,181,40,22,86,48,144,236,0.436936936937,0.436936936937,0.0,0.65625,0.436936936937
Elfrid Payton,20,ORL,NBA,2014-15,82,63,2489,301,708,290,666,11,42,118,214,107,242,349,533,142,20,203,193,731,0.425141242938,0.435435435435,0.261904761905,0.551401869159,0.43290960452
Elias Harris,24,LAL,NBA,2013-14,2,0,11,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Elijah Millsap,27,UTA,NBA,2014-15,47,5,924,81,238,53,148,28,90,58,86,28,122,150,58,56,16,67,124,248,0.340336134454,0.358108108108,0.311111111111,0.674418604651,0.399159663866
Elliot Williams,22,POR,NBA,2011-12,24,0,149,37,74,29,47,8,27,6,18,7,12,19,6,6,3,5,18,88,0.5,0.617021276596,0.296296296296,0.333333333333,0.554054054054
Eric Bledsoe,21,LAC,NBA,2010-11,81,25,1841,206,486,174,370,32,116,99,133,68,155,223,289,92,26,194,130,543,0.423868312757,0.47027027027,0.275862068966,0.744360902256,0.456790123457
Eric Moreland,23,SAC,NBA,2014-15,3,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1.0,1.0,0.0,0.0,1.0
Erick Green,23,DEN,NBA,2014-15,43,1,410,61,162,47,115,14,47,10,12,7,24,31,39,12,0,14,26,146,0.376543209877,0.408695652174,0.297872340426,0.833333333333,0.41975308642
Erik Murphy,23,CHI,NBA,2013-14,24,0,62,3,13,3,10,0,3,0,0,2,6,8,2,0,4,2,7,6,0.230769230769,0.3,0.0,0.0,0.230769230769
Evan Turner,22,PHI,NBA,2010-11,78,14,1797,225,529,211,485,14,44,101,125,42,264,306,159,49,14,80,138,565,0.425330812854,0.435051546392,0.318181818182,0.808,0.438563327032
Fab Melo,22,BOS,NBA,2012-13,6,0,36,3,6,3,6,0,0,1,4,0,3,3,0,2,2,1,7,7,0.5,0.5,0.0,0.25,0.5
Festus Ezeli,23,GSW,NBA,2012-13,78,41,1120,74,169,74,169,0,0,43,81,141,172,313,22,23,74,63,157,191,0.437869822485,0.437869822485,0.0,0.530864197531,0.437869822485
Frank Kaminsky,22,CHO,NBA,2015-16,81,3,1708,215,525,147,323,68,202,108,148,69,266,335,98,38,43,58,126,606,0.409523809524,0.455108359133,0.336633663366,0.72972972973,0.474285714286
Fred VanVleet,22,TOR,NBA,2016-17,37,0,294,39,111,28,82,11,29,18,22,4,38,42,35,17,2,15,36,107,0.351351351351,0.341463414634,0.379310344828,0.818181818182,0.400900900901
Gani Lawal,22,PHO,NBA,2010-11,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Gary Harris,20,DEN,NBA,2014-15,55,6,719,66,217,45,114,21,103,35,47,21,43,64,29,39,7,38,71,188,0.304147465438,0.394736842105,0.203883495146,0.744680851064,0.352534562212
