Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Joseph Young,Oregon,2014,JR,173.97,-3.87,170.1
Devin Oliver,Dayton,2014,SR,115.51,54.03,169.54
Damian Lillard,Weber State,2012,JR,196.01,-26.64,169.37
TaShawn Thomas,Houston,2014,JR,77.44,91.85,169.29
Justin Harper,Richmond,2011,SR,140.75,28.53,169.28
Jerai Grant,Clemson,2011,SR,55.84,113.22,169.06
Carleton Scott,Notre Dame,2011,SR,78.25,90.77,169.02
Patric Young,Florida,2013,JR,47.31,121.43,168.74
Allen Crabbe,University of California,2013,JR,125.98,42.67,168.65
Javon McCrea,Buffalo,2014,SR,80.21,88.4,168.61
Lenzelle Smith,Ohio State,2012,SO,82.52,85.88,168.4
Aaron White,Iowa,2013,SO,99.48,68.87,168.35
Casey Prather,Florida,2014,SR,84.76,83.1,167.86
Nick Johnson,Arizona,2013,SO,81.06,86.71,167.77
Andre Roberson,Colorado,2012,SO,47.4,120.32,167.72
Jeffery Taylor,Vanderbilt,2012,SR,124.8,42.9,167.7
Johnathan Motley,Baylor,2017,JR,86.39,81.31,167.7
Julyan Stone,Texas-El Paso,2011,SR,55.15,112.51,167.66
J.P. Macura,Xavier,2017,JR,115.28,52.2,167.48
Ken Horton,Central Connecticut State,2011,JR,126.92,40.38,167.3
Aaron White,Iowa,2014,JR,104.35,62.27,166.62
Darrun Hilliard,Villanova,2014,JR,106.87,59.57,166.44
T.J. Cline,Richmond,2017,SR,124.82,41.61,166.43
J'Covan Brown,Texas,2012,JR,158,8.32,166.32
Kameron Woods,Butler,2015,SR,32.17,134.03,166.2
Brandon Taylor,Utah,2015,JR,116.96,49.16,166.12
Melo Trimble,Maryland,2015,FR,134.76,31.25,166.01
Jonathan Isaac,Florida State,2017,FR,71.57,94.41,165.98
Chasson Randle,Stanford,2015,SR,158.91,6.91,165.82
Doug McDermott,Creighton,2013,JR,175.12,-9.42,165.7
Daniel Miller,Georgia Tech,2014,SR,37.55,128.03,165.58
Dakota Mathias,Purdue,2017,JR,99.3,66.2,165.5
Levi Randolph,Alabama,2015,SR,134.34,31.15,165.49
Peyton Siva,Louisville,2013,SR,85.92,79.48,165.4
Richard Howell,North Carolina State,2013,SR,105.03,60.3,165.33
Thomas Robinson,Kansas,2012,JR,64.08,100.39,164.47
Spencer Dinwiddie,Colorado,2013,SO,122.41,42.02,164.43
Tyrus McGee,Iowa State,2013,SR,149.16,15.22,164.38
London Perrantes,Virginia,2016,JR,113.17,51.01,164.18
Taurean Prince,Baylor,2015,JR,96.74,67.3,164.04
Rondae Hollis-Jefferson,Arizona,2014,FR,49.79,114.03,163.82
Matt Jones,Duke,2017,SR,85,78.62,163.62
Quinn Cook,Duke,2013,SO,98.51,64.98,163.49
James Bell,Villanova,2014,SR,95.85,67.45,163.3
Carrick Felix,Arizona State,2013,SR,93.97,69.24,163.21
Kim English,Missouri,2012,SR,143.21,19.89,163.1
Anthony Gill,Virginia,2015,JR,96.98,65.94,162.92
Melvin Ejim,Iowa State,2014,SR,103.84,59.04,162.88
Reggie Upshaw,Middle Tennessee,2017,SR,93.84,68.95,162.79
Nik Stauskas,Michigan,2013,FR,133.35,29.42,162.77
Ryan Spangler,Oklahoma,2016,SR,82.32,80.36,162.68
Bradford Burgess,Virginia Commonwealth,2011,JR,125.39,37.15,162.54
Davon Reed,Miami (FL),2017,SR,100.03,62.28,162.31
Ryan Broekhoff,Valparaiso,2012,JR,129.01,33.17,162.18
Jock Landale,Saint Mary's (CA),2017,JR,91.4,70.76,162.16
Brandon Clarke,San Jose State,2017,SO,65.55,96.6,162.15
Talor Battle,Penn State,2011,SR,166.07,-3.95,162.12
Ben Moore,Southern Methodist,2017,SR,63.04,99.06,162.1
Josh Adams,Wyoming,2016,SR,150.46,11.57,162.03
Landry Shamet,Wichita State,2017,FR,120.22,41.74,161.96
Jordan McRae,Tennessee,2014,SR,136.89,25.06,161.95
Jordan Hulls,Indiana,2013,SR,129.53,32.38,161.91
Trevon Bluiett,Xavier,2016,SO,110.9,50.9,161.8
Elijah Johnson,Kansas,2012,JR,103.54,58.24,161.78
Nicholas Baer,Iowa,2017,SO,77.94,83.82,161.76
Reggie Bullock,North Carolina,2012,SO,106.02,55.71,161.73
Noah Hartsock,Brigham Young,2011,JR,56.53,104.99,161.52
Sean Kilpatrick,Cincinnati,2012,SO,131.63,29.72,161.35
Pierre Jackson,Baylor,2012,JR,141.12,20.16,161.28
Royce White,Iowa State,2012,SO,56.73,104.31,161.04
Zach LeDay,Virginia Tech,2016,JR,77.79,83.21,161
Doug McDermott,Creighton,2014,SR,192.37,-31.41,160.96
Pat Connaughton,Notre Dame,2014,JR,125.18,35.77,160.95
Tra-Deon Hollins,Nebraska-Omaha,2016,JR,78.44,82.36,160.8
Ryan Boatright,Connecticut,2015,SR,145.2,15.49,160.69
Ashton Gibbs,Pittsburgh,2011,JR,162.09,-1.65,160.44
John Konchar,IPFW,2017,SO,123.56,36.85,160.41
