Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
J. Crawford | R. Felton | B. Griffin | A. Rivers | M. Speights,LAC,2016-17,39,100.6,209,206,99.1,-3,-10,+.009,+11,+24,+.067,+.042,-4,-3,-.034,+1
A. Baynes | K. Caldwell-Pope | T. Harris | M. Morris | I. Smith,DET,2016-17,36,100.5,212,213,101.5,+13,+7,+.056,+7,-5,+.150,+.073,-7,-15,+.086,+26
L. Babbitt | G. Dragic | R. McGruder | J. Richardson | H. Whiteside,MIA,2016-17,8,99.6,190,188,91.1,+12,+11,+.036,+7,+16,+.020,+.051,-8,-8,-.073,+23
J. Brown | J. Jerebko | K. Olynyk | T. Rozier | M. Smart,BOS,2016-17,31,99.5,195,198,94.8,+3,+4,+.008,+6,+13,+.038,+.024,-7,-13,+.070,+5
D. Cousins | A. Davis | T. Frazier | S. Hill | J. Holiday,NOP,2016-17,8,99.3,204,202,98.1,-3,+3,-.024,+8,+9,+.076,-0.003,+9,+9,+.073,+11
G. Antetokounmpo | M. Dellavedova | T. Maker | K. Middleton | T. Snell,MIL,2016-17,12,98.8,188,188,91.3,+1,-8,+.027,-1,0,-.017,+.027,+25,+25,+.207,+26
J. Butler | R. Lopez | N. Mirotic | R. Rondo | D. Valentine,CHI,2016-17,17,98.0,192,187,92.8,-4,+1,-.026,+10,+16,+.075,+.003,0,0,.000,+2
J. Brown | J. Crowder | A. Horford | A. Johnson | I. Thomas,BOS,2016-17,13,97.5,195,200,97.2,0,-6,+.015,+14,+31,+.063,+.056,+7,+7,+.071,+21
H. Barnes | S. Curry | W. Matthews | S. Mejri | D. Williams,DAL,2016-17,17,96.9,174,178,87.2,+16,+21,+.043,+12,+24,+.058,+.074,-18,-19,-.138,+26
T. Hardaway | D. Howard | E. Ilyasova | T. Waller-Prince | D. Schroder,ATL,2016-17,13,96.9,193,193,95.6,-1,-5,+.007,-9,-31,+.059,-0.016,-2,+11,-.348,-13
J. Anderson | R. Holmes | T. Luwawu-Cabarrot | T. McConnell | D. Saric,PHI,2016-17,12,96.4,200,197,98.9,-20,-11,-.086,+2,+17,-.043,-0.077,-2,0,-.063,-40
